timeStamp,rawData
3113284,149
3114850,148
3116131,149
3117452,151
3118836,148
3120224,148
3121612,149
3123000,150
3124388,150
3125776,149
3127161,148
3128892,149
3130000,150
3131356,149
3132716,149
3134104,149
3135492,149
3136880,150
3138268,149
3139656,149
3141044,149
3142432,149
3143820,149
3145208,148
3146596,149
3147984,149
3149372,149
3150760,149
3152148,149
3153536,149
3154924,149
3156370,149
3157700,149
3159088,149
3160476,149
3161864,149
3163252,149
3164640,149
3166028,149
3167416,149
3168804,149
3170192,149
3171580,149
3172968,149
3174356,149
3175744,149
3177132,149
3178520,149
3179908,149
3181316,149
3182684,149
3184072,149
3185460,149
3186848,149
3188236,149
3189624,149
3191012,149
3192400,149
3193788,149
3195176,149
3196564,149
3197952,149
3199340,149
3200728,149
3202116,149
3203504,149
3204892,149
3206291,149
3207668,149
3209056,149
3210444,149
3211832,149
3213220,149
3214608,149
3215996,149
3217523,149
3218855,149
3220164,149
3221548,149
3222936,149
3224324,149
3225712,149
3227100,149
3228488,149
3229899,149
3231275,149
3232652,148
3234040,149
3235428,149
3236816,149
3238204,149
3239592,149
3240980,149
3242368,148
3243756,148
3245144,148
3246532,148
3247920,148
3249328,148
3250696,148
3252084,149
3253472,149
3254860,149
3256301,149
3257636,149
3259024,149
3260412,149
3261800,149
3263188,149
3264576,149
3265964,149
3267352,149
3268740,149
3270128,149
3271516,149
3272904,149
3274292,149
3275680,149
3277068,149
3278456,149
3281036,149
3281232,149
3282688,149
3284012,149
3285396,149
3286784,149
3288169,149
3289560,149
3290948,149
3292333,149
3293724,149
3295112,149
3296500,149
3297888,149
3299276,149
3300664,149
3302049,149
3303440,149
3304825,149
3306231,149
3307601,149
3308992,149
3310380,149
3311768,148
3313156,149
3314544,149
3315932,149
3317320,149
3318711,149
3320122,149
3321484,149
3322869,149
3324260,149
3325648,149
3327033,148
3328424,148
3329812,148
3331251,148
3332588,149
3333976,149
3335364,148
3336752,149
3338137,149
3339528,149
3340913,149
3342304,149
3343692,149
3345080,149
3346465,149
3347856,149
3349241,148
3350632,149
3352020,149
3353405,148
3354796,149
3356250,149
3357572,149
3358960,149
3360348,149
3361736,149
3363124,149
3364512,149
3365900,149
3367285,149
3368676,149
3370064,149
3371452,149
3372840,148
3374228,148
3375616,148
3377004,148
3378389,148
3379780,148
3381179,148
3382553,148
3383944,148
3385332,148
3386720,148
3388108,149
3389496,149
3390881,148
3392272,149
3393657,149
3395048,149
3396436,149
3397824,149
3399212,149
3400600,149
3402778,149
3403376,149
3404764,149
3406232,149
3407540,149
3408928,149
3410316,149
3411704,149
3413092,149
3414480,149
3415868,149
3417256,149
3418644,149
3420032,149
3421579,149
3422891,149
3424200,149
3425584,149
3426972,149
3428360,149
3429748,149
3431155,149
3432558,149
3435016,149
3435315,149
3436753,149
3438080,149
3439464,149
3440852,149
3442240,149
3443628,149
3445016,149
3446404,149
3447792,149
3449180,149
3450568,149
3451956,149
3453341,149
3454732,149
3456206,149
3457508,149
3458896,149
3460284,149
3461672,149
3463060,149
3464448,149
3465836,149
3467224,149
3468612,149
3470000,149
3471388,149
3472776,150
3474164,149
3475552,149
3476940,149
3478328,149
3479716,149
3481117,149
3482492,149
